Average Weekday Subway Ridership,,,,,,,,,,,,,,,,,,,
Station (alphabetical by borough),*,Boro,2016,2017,2018,2019,2020,2021,2020-2021 Change,,2021 Rank,,,,,,,,
Gun Hill Rd (5),5,Bx,"5,886","5,654","5,362","4,287","1,549","2,579","1,030",66.5%,284,,,,,,,,
Hunts Point Av (6),,Bx,"10,651","10,646","10,460","10,510","5,271","5,676",406,7.7%,124,,,,,,,,
"Intervale Av (2,5)",,Bx,"3,423","3,377","3,130","3,140","1,521","1,752",231,15.2%,349,,,,,,,,
"Jackson Av (2,5)",,Bx,"5,752","5,766","5,288","5,167","2,375","2,664",290,12.2%,275,,,,,,,,
Kingsbridge Rd (4),,Bx,"9,998","9,783","8,992","8,849","4,277","4,719",441,10.3%,164,,,,,,,,
"Kingsbridge Rd (B,D)",,Bx,"8,144","8,237","7,922","7,957","3,754","3,788",34,0.9%,196,,,,,,,,
Longwood Av (6),6,Bx,"3,517","3,518","3,395","3,168","1,267","1,859",592,46.8%,341,,,,,,,,
Middletown Rd (6),,Bx,"2,066","2,102","2,036","2,061",873,993,119,13.6%,401,,,,,,,,
Morris Park (5),,Bx,"2,487","2,527","2,417","2,520","1,104","1,302",198,18.0%,387,,,,,,,,
Morrison Av-Soundview (6),,Bx,"6,755","6,742","6,361","6,341","3,173","3,537",364,11.5%,214,,,,,,,,
Mosholu Pkwy (4),,Bx,"9,135","8,770","8,195","8,074","4,070","4,585",515,12.6%,168,,,,,,,,
Mt Eden Av (4),,Bx,"5,770","5,512","5,337","5,009","2,625","2,890",265,10.1%,256,,,,,,,,
"Nereid Av (2,5)",,Bx,"3,753","3,631","3,437","3,394","1,558","1,757",198,12.7%,348,,,,,,,,
Norwood-205 St (D),,Bx,"8,897","8,751","8,429","8,544","4,174","4,441",267,6.4%,171,,,,,,,,
Parkchester (6),,Bx,"16,561","16,310","15,660","15,427","7,028","7,754",726,10.3%,77,,,,,,,,
Pelham Bay Park (6),,Bx,"7,213","7,185","7,001","7,020","3,094","3,301",207,6.7%,232,,,,,,,,
"Pelham Pkwy (2,5)",,Bx,"9,441","9,173","8,472","8,463","3,915","4,473",558,14.2%,170,,,,,,,,
Pelham Pkwy (5),,Bx,"3,332","3,237","3,083","3,225","1,427","1,591",164,11.5%,361,,,,,,,,
"Prospect Av (2,5)",,Bx,"8,004","7,704","7,038","6,936","3,258","3,618",359,11.0%,209,,,,,,,,
"Simpson St (2,5)",,Bx,"9,680","9,446","8,477","8,257","3,914","4,371",457,11.7%,174,,,,,,,,
St. Lawrence Ave. (6),,Bx,"4,187","4,196","4,040","4,077","2,002","2,229",227,11.3%,311,,,,,,,,
"Tremont Av (B,D)",,Bx,"10,246","10,055","10,398","9,769","4,543","4,843",300,6.6%,154,,,,,,,,
Van Cortlandt Park-242 St (1),,Bx,"7,431","7,396","7,742","7,330","3,215","3,681",466,14.5%,203,,,,,,,,
Wakefield-241 St (2),,Bx,"5,213","5,129","4,763","4,538","2,284","2,427",143,6.3%,296,,,,,,,,
"West Farms Sq-East Tremont Av (2,5)",,Bx,"7,848","7,657","6,866","6,741","3,006","3,389",384,12.8%,226,,,,,,,,
Westchester Sq-East Tremont Av (6),,Bx,"6,635","6,479","6,097","6,113","2,770","3,157",387,14.0%,238,,,,,,,,
Whitlock Av (6),,Bx,"1,830","1,905","1,894","1,907",977,"1,087",110,11.3%,399,,,,,,,,
Woodlawn (4),,Bx,"7,623","7,260","6,937","6,680","3,031","3,542",511,16.9%,213,,,,,,,,
Zerega Av (6),,Bx,"2,629","2,664","2,629","2,676","1,188","1,331",143,12.1%,380,,,,,,,,
Brooklyn,,,,,,,,,,,,,,,,,,,
"15 St-Prospect Park (F,G)",,B,"6,342","6,272","6,136","6,324","2,133","2,686",553,25.9%,270,,,,,,,,
18 Av (D),,B,"6,413","6,196","6,136","6,218","2,703","3,036",333,12.3%,247,,,,,,,,
18 Av (F),,B,"4,440","4,318","3,947","3,667","1,750","2,016",266,15.2%,328,,,,,,,,
18 Av (N),7,B,"2,266","3,107","3,097","3,681","2,089","2,723",635,30.4%,265,,,,,,,,
20 Av (D),,B,"5,268","5,009","4,905","5,037","2,216","2,463",247,11.1%,293,,,,,,,,
20 Av (N),8,B,"1,348","2,139","3,514","3,692","1,551","1,992",441,28.5%,331,,,,,,,,
25 Av (D),,B,"6,507","5,790","5,083","4,877","1,940","2,152",211,10.9%,319,,,,,,,,
