,id,geom_id,lines,color_symbol,length,x,y,num
20,773,2000305,F,B,2338.67180233,-73.84463013327571 -73.8415292685246 -73.8414363934497 -73.8413448379919 -73.84125529011219 -73.84116574231247 -73.8410771852688 -73.84098863185555 -73.84090009030064 -73.8408120643134 -73.84072450067461 -73.84063696666581 -73.84055040216154 -73.84046482366706 -73.8403778243574 -73.84029224608066 -73.84020483573347 -73.83744095985965 ,40.72154844382737 40.720171060629916 40.72013068080801 40.72009087455383 40.72005151224508 40.720011167408686 40.7199708238699 40.71992949961091 40.719887716039125 40.719846175349225 40.719803868896186 40.71976109685286 40.71971879885374 40.71967551699606 40.71963151629756 40.71958823701264 40.71954249852617 40.7181920936493 ,18
21,774,2000473,N-R,N,2345.71964265,-73.99297173637369 -73.99293864834311 -73.99290651109479 -73.99287540623297 -73.99284240777834 -73.99281045955796 -73.99278025230332 -73.9927492535391 -73.9927182064749 -73.99268908929096 -73.99265726734579 -73.99262899114953 -73.99259991527232 -73.99257182222583 -73.99254192176825 -73.99251174475827 -73.98841224896833 ,40.665450480954114 40.66548356928563 40.665516652263015 40.6655497010757 40.66558470117995 40.6656186441346 40.6656507393309 40.66568573863298 40.665718727972106 40.66575269628612 40.665787598254994 40.665819642204774 40.66585356727371 40.665886504532715 40.66592258897052 40.66595678950322 40.67087199869058 ,17
22,775,2000303,F-M,B,2739.68740975,-73.86169742350371 -73.85447364583354 -73.85437903432671 -73.85428189619263 -73.85418533760352 -73.85408336780701 -73.85398065368798 -73.85387594340364 -73.85376787634434 -73.85365890757042 -73.85354801591133 -73.85343290080085 -73.85331692289778 -73.8531985836992 -73.85307752414325 -73.85295584498638 -73.85282899533436 ,40.729697105704055 40.72706791609972 40.72703145189732 40.72699477550103 40.72695673818507 40.726915750163016 40.726875258187896 40.72683179190413 40.72678776564686 40.72674260800151 40.72669508306709 40.726646033488805 40.72659646940492 40.726544758978925 40.72649216696214 40.726437756796614 40.72638082476821 ,17
23,776,2000298,F-M,B,2258.57526372,-73.89855866075368 -73.89144367122574 ,40.74952491510065 40.746499922847306 ,2
24,777,2000299,E,A,3002.12810137,-73.89133800006059 -73.88514900123499 -73.885103999402 -73.88505900050625 -73.88501500157321 -73.88497100083754 -73.88492800006365 -73.88488500049984 -73.88484300143621 -73.88480100057446 -73.88475999966961 -73.88471899997215 -73.88467900077265 -73.88463900041349 -73.88459999936865 -73.88456100071252 -73.88452300137115 -73.88291699979152 -73.88284600059417 -73.88277500090197 -73.8827060010204 -73.8826390009526 -73.88257400071755 -73.88250999982453 -73.88244800109648 -73.8823880015834 -73.88233000127973 -73.8822730014898 -73.88221800089964 -73.88216500127511 -73.88211399965604 -73.88206400032193 -73.88201700121537 ,40.746643666605465 40.74400566672993 40.74398666706284 40.74396666601667 40.743947665514526 40.74392766633086 40.743908666792215 40.74388966633814 40.7438706668683 40.74385066691739 40.74383166661448 40.74381266629811 40.743793666968855 40.74377466672398 40.743755666565875 40.743736667297426 40.74371766721663 40.742932666283465 40.74289666742991 40.74286166629437 40.74282666715143 40.74279166640278 40.74275866678096 40.74272566634072 40.74269266700774 40.74266066744531 40.74262966765655 40.742598667060136 40.742568667142905 40.74253866654496 40.74250966753118 40.74248166728357 40.74245366648559 ,33
25,778,2000300,E,A,2442.1549084,-73.88201700121537 -73.88194500077061 -73.88187400086811 -73.8818030010456 -73.8817320001238 -73.8816620003333 -73.88159200003375 -73.88152300086888 -73.8814530001527 -73.88138400057409 -73.88131600153594 -73.88124700036452 -73.88117900091834 -73.88111199964024 -73.8810440009737 -73.88097700108094 -73.87942200090404 -73.87935700022732 -73.87929499981719 -73.87923500043576 -73.87917500004467 -73.87911700013045 -73.8790600014521 -73.87900400101873 -73.87895000043834 -73.87889700110395 -73.87884500001972 -73.87879400018444 -73.87874400097631 -73.87869600043341 -73.87864899996481 -73.87860200207382 -73.87722300158889 ,40.74245366648559 40.74241466735663 40.74237566650703 40.742336667414484 40.74229566644793 40.74225566602961 40.742214666904765 40.742172666501716 40.74213066772765 40.742087667676586 40.74204466681391 40.74200066711474 40.74195666660634 40.74191266708779 40.741867666936045 40.741821666411255 40.74066466658665 40.74061366578073 40.740560667153375 40.7405056669601 40.74044866670556 40.74038866622512 40.740325667173934 40.740260667313194 40.740193666796564 40.740123666813766 40.74005166602643 40.7399766675765 40.73989966562556 40.73982066662909 40.73973866727176 40.73965466696777 40.73701466612775 ,33
26,779,2000182,7,7,1981.72050561,-73.88369700129894 -73.87661300048862 ,40.74765866727264 40.748407666521686 ,2
27,780,2000184,7,7,1909.69282751,-73.86952700168771 -73.86270000135904 ,40.74914466630148 40.74986466737157 ,2
28,781,2000263,A,A,3012.51650161,-73.83030100155793 -73.83405800031842 ,40.660475666859135 40.668233667609115 ,2
29,782,2000260,A,A,1884.43975127,-73.82579799993185 -73.82837400077669 -73.82844200042545 -73.82850800105348 -73.82857300108353 -73.82863700148864 -73.82869900049998 -73.82875900028533 -73.82881900163396 -73.8288770002033 -73.82893300190688 -73.82898900023956 -73.82904300190553 -73.82909500099122 -73.82914600163355 -73.82919600047201 -73.82924400008343 -73.83216299929477 ,40.685950667395254 40.685665666381986 40.68565766674399 40.68564866721614 40.68563866658765 40.68562866623487 40.68561766689709 40.685606666351894 40.68559366663351 40.685580666607045 40.68556766718493 40.68555366725786 40.68553866746664 40.68552266690475 40.68550666573745 40.685489667090465 40.68547266725616 40.68433066592236 ,18
